Title;Company;Location;Salary;Seniority
Techninės kontrolės inžinierius (-ė);Iremas, UAB;Jonava;€ 1600 – 3000;Unspecified
IT administratorius (-ė);Lietuvos nacionalinis radijas ir televizija VŠĮ;Vilnius;€ 2200 – 2700;Unspecified
Kibernetinio saugumo specialistas (-ė);Camelia vaistinė;Kaunas;€ 3306;Unspecified
Applied AI: Senior Software Engineer, AI Engineering;Nasdaq Vilnius Services, UAB;Vilnius;€ 4100 – 4500;Senior
Senior DevOps Engineer;Nasdaq Vilnius Services, UAB;Vilnius;€ 5000 – 6200;Senior
GEN AI Platform: Software Developer Specialist;Nasdaq Vilnius Services, UAB;Vilnius;€ 4100 – 4500;Unspecified
Tarptautinių projektų vadybininkas (-ė);Klaipėdos mokslo ir technologijų parkas, VšĮ;Klaipėda;€ 2000 – 2500;Unspecified
Senior Software Developer in Payments team | SEB, Vilnius;SEB;Vilnius;€ 3650 – 5450;Senior
Full stack developer seeking new digital challenges | SEB, Vilnius;SEB;Vilnius;€ 2850 – 4250;Unspecified
Application Management Support Specialist;COWI Lietuva, UAB;Vilnius;€ 2600 – 3500;Unspecified
Mid/Senior QA Engineer for Progress OpenEdge Unit;Baltic Amadeus, UAB;Vilnius / Remote;€ 2500 – 3800;Senior
Išmaniųjų laikrodžių ir elektronikos aksesuarų grupės vadovas;TELE2, UAB;Vilnius / Remote;€ 3200 – 3800;Unspecified
ERP KONSULTANTAS (-Ė) – Galimybė keisti karjeros kryptį!;People Link, UAB;Kaunas;€ 2600 – 3500;Unspecified
BI Developer;Emplonet, UAB;Vilnius;€ 3500 – 5000;Unspecified
DI diegimo vadovas (-ė);Mano būstas, UAB;Vilnius;€ 5500 – 7400;Unspecified
Duomenų analizės skyriaus Vyriausiasis specialistas (karjeros valstybės tarnautojas);Valstybinė energetikos reguliavimo taryba;Vilnius / Remote;€ 1999.65;Unspecified
BUSINESS IMPROVEMENT PROJECT MANAGER (F/M/D) | IGNITIS RENEWABLES;Ignitis Group;Vilnius;€ 2666 – 3999;Unspecified
BIM (statinio informacinio modeliavimo) koordinatorė (-ius);EPSO-G įmonių grupė;Vilnius;€ 3000 – 3700;Unspecified
IT inžinierė (-ius);Blue Bridge grupė;Vilnius;€ 1500 – 2000;Unspecified
Sistemų analitikė (-as);Blue Bridge grupė;Vilnius;€ 2200 – 4400;Unspecified
Mid Full-Stack Developer (Front-end focus – Angular) | SEB, Vilnius;SEB;Vilnius;€ 2850 – 5450;Mid
Enterprise Area Architect | SEB, Vilnius;SEB;Vilnius;€ 5900 – 8800;Unspecified
