Title,Company,Location,Salary,min_salary,max_salary,avg_salary,salary_range,job_category,seniority,salary_range_pct
ERP KONSULTANTAS (-Ė) – Galimybė keisti karjeros kryptį!,ERP KONSULTANTAS (-Ė) – Galimybė keisti karjeros kryptį!,Kaunas,€ 2600 – 3500,2600.0,3500.0,3050.0,900.0,Other,Not Specified,34.61538461538461
Java Chapter Lead for Welcoming and Orchestration,Java Chapter Lead for Welcoming and Orchestration,Vilnius,€ 5200 – 7800,5200.0,7800.0,6500.0,2600.0,Software Developer,Senior,50.0
BI Developer,BI Developer,Vilnius,€ 3500 – 5000,3500.0,5000.0,4250.0,1500.0,Software Developer,Not Specified,42.857142857142854
DI diegimo vadovas (-ė),DI diegimo vadovas (-ė),Vilnius,€ 5500 – 7400,5500.0,7400.0,6450.0,1900.0,Other,Not Specified,34.54545454545455
BUSINESS IMPROVEMENT PROJECT MANAGER (F/M/D) | IGNITIS RENEWABLES,BUSINESS IMPROVEMENT PROJECT MANAGER (F/M/D) | IGNITIS RENEWABLES,Vilnius,€ 2666 – 3999,2666.0,3999.0,3332.5,1333.0,Project Manager,Not Specified,50.0
Outperformer - Global Management Program: Finance Track,Outperformer - Global Management Program: Finance Track,Vilnius / Remote,€ 2700 – 3300,2700.0,3300.0,3000.0,600.0,Other,Not Specified,22.22222222222222
.NET programuotojas,.NET programuotojas,Vilnius / Remote,€ 4000 – 5400,4000.0,5400.0,4700.0,1400.0,Software Developer,Not Specified,35.0
IT System Analyst,IT System Analyst,Vilnius / Remote,€ 3500 – 4700,3500.0,4700.0,4100.0,1200.0,Other,Not Specified,34.285714285714285
BIM (statinio informacinio modeliavimo) koordinatorė (-ius),BIM (statinio informacinio modeliavimo) koordinatorė (-ius),Vilnius,€ 3000 – 3700,3000.0,3700.0,3350.0,700.0,Other,Not Specified,23.333333333333332
IT inžinierė (-ius),IT inžinierė (-ius),Vilnius,€ 1500 – 2000,1500.0,2000.0,1750.0,500.0,Other,Not Specified,33.33333333333333
Sistemų analitikė (-as),Sistemų analitikė (-as),Vilnius,€ 2200 – 4400,2200.0,4400.0,3300.0,2200.0,Other,Not Specified,100.0
"Mid Full-Stack Developer (Front-end focus – Angular) | SEB, Vilnius","Mid Full-Stack Developer (Front-end focus – Angular) | SEB, Vilnius",Vilnius,€ 2850 – 5450,2850.0,5450.0,4150.0,2600.0,Software Developer,Mid,91.22807017543859
"Enterprise Area Architect | SEB, Vilnius","Enterprise Area Architect | SEB, Vilnius",Vilnius,€ 5900 – 8800,5900.0,8800.0,7350.0,2900.0,Other,Not Specified,49.152542372881356
Back-end Software Developer,Back-end Software Developer,Latvia,€ 4500 – 6000,4500.0,6000.0,5250.0,1500.0,Software Developer,Not Specified,33.33333333333333
Software Developer Lead,Software Developer Lead,Latvia,€ 6000 – 8000,6000.0,8000.0,7000.0,2000.0,Software Developer,Senior,33.33333333333333
PERFORMANCE DATA ENGINEER (F/M/D) | IGNITIS RENEWABLES,PERFORMANCE DATA ENGINEER (F/M/D) | IGNITIS RENEWABLES,Vilnius,€ 2666 – 3999,2666.0,3999.0,3332.5,1333.0,Data Engineer,Not Specified,50.0
Vyr. sistemų architektas (-ė),Vyr. sistemų architektas (-ė),Vilnius,€ 3520 – 5280,3520.0,5280.0,4400.0,1760.0,Senior/Lead Position,Senior,50.0
Software Testing Engineer,Software Testing Engineer,Vilnius,€ 2000 – 3200,2000.0,3200.0,2600.0,1200.0,QA Engineer,Not Specified,60.0
IT Administratorius (-ė),IT Administratorius (-ė),Vilnius / Remote,€ 2600 – 3600,2600.0,3600.0,3100.0,1000.0,IT Support,Not Specified,38.46153846153847
Vyr. Programuotojas (-a),Vyr. Programuotojas (-a),Šiauliai / Remote,€ 3500 – 4500,3500.0,4500.0,4000.0,1000.0,Software Developer,Senior,28.57142857142857
Vyr. Programuotojas (-a),Vyr. Programuotojas (-a),Kaunas / Remote,€ 3500 – 4500,3500.0,4500.0,4000.0,1000.0,Software Developer,Senior,28.57142857142857
Senior JAVA Developer for Pathway team,Senior JAVA Developer for Pathway team,Vilnius / Remote,€ 3600 – 6300,3600.0,6300.0,4950.0,2700.0,Software Developer,Senior,75.0
Senior Front-end Developer,Senior Front-end Developer,Vilnius,€ 4320 – 6480,4320.0,6480.0,5400.0,2160.0,Software Developer,Senior,50.0
Verslo analitikas (-ė) Produktų vystymo departamente,Verslo analitikas (-ė) Produktų vystymo departamente,Kaunas / Remote,€ 2500 – 3750,2500.0,3750.0,3125.0,1250.0,Data Analyst,Not Specified,50.0
Verslo analitikas (-ė) Produktų vystymo departamente,Verslo analitikas (-ė) Produktų vystymo departamente,Vilnius / Remote,€ 2600 – 3890,2600.0,3890.0,3245.0,1290.0,Data Analyst,Not Specified,49.61538461538461
"Product Owner for Jira and Confluence | SEB, Vilnius","Product Owner for Jira and Confluence | SEB, Vilnius",Vilnius,€ 3000 – 4500,3000.0,4500.0,3750.0,1500.0,Product Owner,Not Specified,50.0
"IT Support Specialist at 1st Line Employee IT Support | SEB, Vilnius","IT Support Specialist at 1st Line Employee IT Support | SEB, Vilnius",Vilnius,€ 1750 – 1900,1750.0,1900.0,1825.0,150.0,IT Support,Not Specified,8.571428571428571
IT Business Analyst,IT Business Analyst,Vilnius,€ 2800 – 4130,2800.0,4130.0,3465.0,1330.0,Business Analyst,Not Specified,47.5
Vyr. ekspertas (-ė) (Dirbtinis intelektas - Teisės sritis),Vyr. ekspertas (-ė) (Dirbtinis intelektas - Teisės sritis),Vilnius / Remote,€ 2500 – 3500,2500.0,3500.0,3000.0,1000.0,Senior/Lead Position,Senior,40.0
Test Automation Engineer (Python),Test Automation Engineer (Python),Vilnius / Remote,€ 1900 – 4500,1900.0,4500.0,3200.0,2600.0,QA Engineer,Not Specified,136.8421052631579
Informacijos saugos vadovas (-ė) (CISO),Informacijos saugos vadovas (-ė) (CISO),Vilnius,€ 4000 – 7500,4000.0,7500.0,5750.0,3500.0,Security,Not Specified,87.5
Senior Flutter Developer,Senior Flutter Developer,Vilnius,€ 5000 – 7000,5000.0,7000.0,6000.0,2000.0,Software Developer,Senior,40.0
.Net developer,.Net developer,Kaunas,€ 4500 – 6000,4500.0,6000.0,5250.0,1500.0,Software Developer,Not Specified,33.33333333333333
SENIOR JAVA DEVELOPER (F/M/D),SENIOR JAVA DEVELOPER (F/M/D),Vilnius,€ 3466 – 5199,3466.0,5199.0,4332.5,1733.0,Software Developer,Senior,50.0
Help desk specialistas(-ė),Help desk specialistas(-ė),Vilnius / Remote,€ 2100 – 2700,2100.0,2700.0,2400.0,600.0,IT Support,Not Specified,28.57142857142857
Business Intelligence Analyst for Daily Data Monitoring Squad,Business Intelligence Analyst for Daily Data Monitoring Squad,Vilnius,€ 2880 – 4320,2880.0,4320.0,3600.0,1440.0,Business Analyst,Not Specified,50.0
POWER PLATFORM DEVELOPER (F/M/D),POWER PLATFORM DEVELOPER (F/M/D),Vilnius,€ 3121 – 4683,3121.0,4683.0,3902.0,1562.0,Software Developer,Not Specified,50.04806151874399
Business Analyst for Visma Idella team,Business Analyst for Visma Idella team,Vilnius / Remote,€ 4100 – 5900,4100.0,5900.0,5000.0,1800.0,Business Analyst,Not Specified,43.90243902439025
Senior Front-end/Full-stack (Angular) Developer for Visma Business NXT team,Senior Front-end/Full-stack (Angular) Developer for Visma Business NXT team,Vilnius / Remote,€ 3600 – 7500,3600.0,7500.0,5550.0,3900.0,Software Developer,Senior,108.33333333333333
Product Security Specialist,Product Security Specialist,Vilnius / Remote,€ 3800 – 5600,3800.0,5600.0,4700.0,1800.0,Security,Not Specified,47.368421052631575
.NET Software Engineer in Wealth Planning and Investments Tribe,.NET Software Engineer in Wealth Planning and Investments Tribe,Vilnius,€ 3520 – 5280,3520.0,5280.0,4400.0,1760.0,Software Developer,Not Specified,50.0
Business Analyst for Progress OpenEdge Unit,Business Analyst for Progress OpenEdge Unit,Vilnius / Remote,€ 3000 – 4200,3000.0,4200.0,3600.0,1200.0,Business Analyst,Not Specified,40.0
Android Developer (Junior),Android Developer (Junior),Vilnius,€ 1100 – 2900,1100.0,2900.0,2000.0,1800.0,Software Developer,Junior,163.63636363636365
Vyresnysis (-ioji) IT specialistas (-ė) Informacinių technologijų paslaugų centre,Vyresnysis (-ioji) IT specialistas (-ė) Informacinių technologijų paslaugų centre,Vilnius / Remote,€ 2800 – 3850,2800.0,3850.0,3325.0,1050.0,Senior/Lead Position,Senior,37.5
IT Project Manager (Data Solutions),IT Project Manager (Data Solutions),Vilnius / Remote,€ 2450 – 3700,2450.0,3700.0,3075.0,1250.0,Project Manager,Not Specified,51.02040816326531
Data Engineer,Data Engineer,Vilnius / Remote,€ 2500 – 4300,2500.0,4300.0,3400.0,1800.0,Data Engineer,Not Specified,72.0
.NET Developer (Junior),.NET Developer (Junior),Vilnius / Remote,€ 1100 – 2900,1100.0,2900.0,2000.0,1800.0,Software Developer,Junior,163.63636363636365
Cloud Sales Assistant,Cloud Sales Assistant,Vilnius / Remote,€ 1500 – 2200,1500.0,2200.0,1850.0,700.0,DevOps,Not Specified,46.666666666666664
Cyber Security Consultant,Cyber Security Consultant,Vilnius,€ 2000 – 2700,2000.0,2700.0,2350.0,700.0,Security,Not Specified,35.0
Skaitmenintojas (-a) Vilniaus universiteto bibliotekoje,Skaitmenintojas (-a) Vilniaus universiteto bibliotekoje,Vilnius,€ 1300 – 1550,1300.0,1550.0,1425.0,250.0,Other,Not Specified,19.230769230769234
Product Development Manager,Product Development Manager,Vilnius / Remote,€ 3700 – 4000,3700.0,4000.0,3850.0,300.0,Other,Not Specified,8.108108108108109
Software Engineer (Java),Software Engineer (Java),Vilnius / Remote,€ 3240 – 3810,3240.0,3810.0,3525.0,570.0,Software Developer,Not Specified,17.59259259259259
IT pirkimų vyr. specialistas (-ė),IT pirkimų vyr. specialistas (-ė),Vilnius,€ 2376 – 3564,2376.0,3564.0,2970.0,1188.0,Senior/Lead Position,Senior,50.0
Business Analyst,Business Analyst,Vilnius / Remote,€ 2500 – 3500,2500.0,3500.0,3000.0,1000.0,Business Analyst,Not Specified,40.0
Duomenų inžinierius(-ė)/Data Engineer,Duomenų inžinierius(-ė)/Data Engineer,Šiauliai,€ 2500 – 3200,2500.0,3200.0,2850.0,700.0,Data Engineer,Not Specified,28.000000000000004
AI Engineer,AI Engineer,Vilnius,€ 2560 – 4500,2560.0,4500.0,3530.0,1940.0,Data Scientist,Not Specified,75.78125
"Software Engineer within Digital Solutions Sweden, Customer Channels","Software Engineer within Digital Solutions Sweden, Customer Channels",Vilnius / Remote,€ 3800 – 5700,3800.0,5700.0,4750.0,1900.0,Software Developer,Not Specified,50.0
R&D Manager,R&D Manager,Kaunas / Remote,€ 4000 – 5500,4000.0,5500.0,4750.0,1500.0,Other,Not Specified,37.5
"Verslo sistemų (gamyba, operacijos) savininkas (-ė)","Verslo sistemų (gamyba, operacijos) savininkas (-ė)",Vilnius,€ 3000 – 4000,3000.0,4000.0,3500.0,1000.0,Other,Not Specified,33.33333333333333
.NET Developer for PlusPort team,.NET Developer for PlusPort team,Vilnius / Remote,€ 2800 – 6300,2800.0,6300.0,4550.0,3500.0,Software Developer,Not Specified,125.0
Pardavimo vadybininkas (-ė) esamiems ir naujiems klientams (kompiuterinė įranga),Pardavimo vadybininkas (-ė) esamiems ir naujiems klientams (kompiuterinė įranga),Kaunas,€ 2450 – 4100,2450.0,4100.0,3275.0,1650.0,Other,Not Specified,67.3469387755102
Senior Software Engineer and Team Lead,Senior Software Engineer and Team Lead,Kaunas / Remote,€ 4950 – 8250,4950.0,8250.0,6600.0,3300.0,Software Developer,Senior,66.66666666666666
Software Architect and Team Lead,Software Architect and Team Lead,Kaunas / Remote,€ 4950 – 8250,4950.0,8250.0,6600.0,3300.0,Senior/Lead Position,Senior,66.66666666666666
Senior PHP Developer,Senior PHP Developer,Vilnius,€ 5000 – 6000,5000.0,6000.0,5500.0,1000.0,Software Developer,Senior,20.0
Rinkos paslaugų planavimo grupės vadovė (-as),Rinkos paslaugų planavimo grupės vadovė (-as),Vilnius,€ 4300 – 5000,4300.0,5000.0,4650.0,700.0,Other,Not Specified,16.27906976744186
Senior BI Analyst for Daily Data Monitoring Squad,Senior BI Analyst for Daily Data Monitoring Squad,Vilnius,€ 3600 – 5400,3600.0,5400.0,4500.0,1800.0,Senior/Lead Position,Senior,50.0
Ieškome Mid Back-End programuotojo (-os),Ieškome Mid Back-End programuotojo (-os),Vilnius / Remote,€ 3500 – 5300,3500.0,5300.0,4400.0,1800.0,Software Developer,Mid,51.42857142857142
