Title;Company;Location;Salary;Seniority;Published;Expires;Skills;Job URL
Informacinių technologijų sistemų administratorius (-ė);Lietuvos Respublikos valstybinis patentų biuras;Vilnius / Remote;€ 1807 – 2718;N/A;Renewed 4 days ago;2025.05.24;N/A;https://www.cvonline.lt/en/vacancy/1360950/lietuvos-respublikos-valstybinis-patent-biuras/informacini-technologij-sistem-administratorius
IT pagalbos specialistė (-as);LTG;Kaunas;€ 2030 – 3040;N/A;4 days ago;2025.06.07;N/A;https://www.cvonline.lt/en/vacancy/1368054/ltg/it-pagalbos-specialist-as
Finansinio audito 2-ojo departamento valstybinis auditorius (-ė) (terminuota darbo sutartis);Lietuvos Respublikos Valstybės Kontrolė;Vilnius;€ 1874 – 2572;N/A;4 days ago;2025.05.22;N/A;https://www.cvonline.lt/en/vacancy/1368052/lietuvos-respublikos-valstyb-s-kontrol/finansinio-audito-2-ojo-departamento-valstybinis-auditorius-terminuota-darbo-sutartis
Pardavimo vadybininkas (-ė) esamiems ir naujiems klientams (kompiuterinė įranga);Noriu personalo sprendimų grupė;Kaunas;€ 2450 – 4100;N/A;4 days ago;2025.05.22;N/A;https://www.cvonline.lt/en/vacancy/1367977/noriu-personalo-sprendim-grup/pardavimo-vadybininkas-esamiems-ir-naujiems-klientams-kompiuterin-ranga
Product Owner for Risk Definitions and Events – Risk and Compliance Tribe;Danske Bank Lithuania;Vilnius;€ 5200 – 7800;N/A;4 days ago;2025.05.29;"Work with a very experienced team, Manage stakeholders including business owners, risk specialists, fellow product owners, and leadership in Risk & Compliance Advanced stakeholder management skills are integral, Good understanding of banking as well as software knowledge that supports highly truthy systems, including knowledge and experience of end-to-end robust IT systems, Proven stakeholder management skills at all organisational levels, Experienced in project and program management, Advanced English skills, Hybrid working conditions: Work from home up to two days a week; home office budget (after the probation period); modern Danske Campus workplace developed with anthropologist for the best employee experience.";https://www.cvonline.lt/en/vacancy/1367950/danske-bank-lithuania/product-owner-for-risk-definitions-and-events-risk-and-compliance-tribe
Senior QA Specialist in Wealth Planning and Investments Tribe;Danske Bank Lithuania;Vilnius;€ 2960 – 4440;Senior;4 days ago;2025.06.05;"At least 4 years of experience in QA role in an Agile or cross-functional environment, In-depth experience testing Mobile applications, Solid knowledge of testing methodologies, tools and best practices, Experience with API testing tools like Postman or SoapUI, Basic knowledge of programming languages such as JavaScript or TypeScript, Solid analytical and problem-solving skills, attention to details, and a proactive mindset towards test strategy execution on daily basis, Good collaboration skills and Upper-Intermediate English skills, Experience with performance testing tools like K6 or LoadRunner is beneficial, Hybrid working conditions: Work from home up to two days a week; home office budget (after the probation period); modern Danske Campus workplace developed with anthropologist for the best employee experience.";https://www.cvonline.lt/en/vacancy/1367836/danske-bank-lithuania/senior-qa-specialist-in-wealth-planning-and-investments-tribe
IT inžinierius (-ė);Lietuvos paštas, AB;Kaunas;€ 1700 – 2100;N/A;4 days ago;2025.06.07;N/A;https://www.cvonline.lt/en/vacancy/1367804/lietuvos-pastas-ab/it-inzinierius
Python-Javascript programuotojas;Ortho Baltic, UAB;Kaunas / Remote;€ 3000 – 7000;N/A;4 days ago;2025.06.07;N/A;https://www.cvonline.lt/en/vacancy/1367355/ortho-baltic-uab/python-javascript-programuotojas
Go Developer (Travel and Transportation sphere);Coherent Solutions, UAB;Vilnius / Remote;€ 4000;N/A;Renewed 4 days ago;2025.05.17;"Encourage continuous improvement in processes, tools, and team knowledge;, Provide mentorship, share knowledge, and help build a collaborative and innovative team culture;, 4+ years of software development experience, with a strong focus on Go in the last 2+ years;, Deep understanding of Go best practices, idiomatic coding, and microservices development;, Experience with any cloud provider; Google Cloud Platform is preferred;, Solid knowledge of microservices architecture, including service-to-service communication, observability, and isolation;, Experience with Terraform and infrastructure-as-code practices;, Global teams. The working model in the company is based on working in global multicultural departments and gaining experience from the highest-level professionals.";https://www.cvonline.lt/en/vacancy/1358050/coherent-solutions-uab/go-developer-travel-and-transportation-sphere
Angular Developer (Diagnostic Solutions);Coherent Solutions, UAB;Vilnius / Remote;€ 2000;N/A;Renewed 4 days ago;2025.05.16;"Work with RESTful APIs and have a strong understanding of HTTP;, 1+ years of experience in UI development;, Experience with Angular;, Solid understanding of RxJS, Observables, and reactive programming;, Hands-on experience with TDD, unit testing (Jasmine/Karma), and continuous integration;, Excellent understanding of HTTP, SOLID principles, and OOP concepts;, Knowledge of SQL and relational databases (e.g., Oracle, DB2);, Experience with Electron for delivering web technologies in desktop applications;, Knowledge of state management (NGRX or similar);, Experience working with AWS or Azure cloud platforms;, Understanding of Okta or other identity management solutions;, Global teams. The working model in the company is based on working in global multicultural departments and gaining experience from the highest-level professionals.";https://www.cvonline.lt/en/vacancy/1357803/coherent-solutions-uab/angular-developer-diagnostic-solutions
QA Specialist in Wealth Planning and Investments Tribe;Danske Bank Lithuania;Vilnius;€ 2480 – 3720;N/A;4 days ago;2025.06.05;"At least 2 years of experience in QA role in an Agile or cross-functional environment, Experience testing Mobile applications, Solid knowledge of testing methodologies, tools and best practices, Experience with API testing tools like Postman or SoapUI, Good analytical and problem-solving skills, attention to details, and a proactive mindset towards test strategy execution on daily basis, Upper-Intermediate English skills, Basic knowledge of programming languages such as JavaScript or TypeScript is beneficial, Hybrid working conditions: Work from home up to two days a week; home office budget (after the probation period); modern Danske Campus workplace developed with anthropologist for the best employee experience.";https://www.cvonline.lt/en/vacancy/1367701/danske-bank-lithuania/qa-specialist-in-wealth-planning-and-investments-tribe
Business Analyst in Solutions Development Team;Danske Bank Lithuania;Vilnius;€ 2880 – 4320;N/A;4 days ago;2025.06.05;"At least 2 years of experience working with IT; familiarity with ServiceNow is a bonus, Possess solid storytelling skills, effective stakeholder management, and general communication skills across all levels of the organisation, Experienced in Agile methodologies and ceremonies, Knowledgeable in ITIL, Advanced English language skills, Hybrid working conditions: Work from home up to two days a week; home office budget (after the probation period); modern Danske Campus workplace developed with anthropologist for the best employee experience.";https://www.cvonline.lt/en/vacancy/1367699/danske-bank-lithuania/business-analyst-in-solutions-development-team
Social Media Manager;Bcreatives, UAB;Vilnius;€ 3400 – 4400;N/A;5 days ago;2025.05.21;Strong understanding of platform algorithms, best practices, and content strategy for Instagram, Facebook, LinkedIn YouTube and TikTok., Experience with CapCut, Adobe Premiere, or similar tools to create polished, engaging videos., Growth opportunities: Youll have the chance to work with a growing company and contribute directly to its expansion, with opportunities to develop your skills and advance your career.;https://www.cvonline.lt/en/vacancy/1367505/bcreatives-uab/social-media-manager
IT pardavimų vadybininkas Kaune;Heksimus, UAB;Kaunas;€ 2000 – 2600;N/A;5 days ago;2025.06.06;N/A;https://www.cvonline.lt/en/vacancy/1367491/heksimus-uab/it-pardavim-vadybininkas-kaune
Lead Site Reliability Engineer in Digital Processing | SEB, Kaunas;SEB;Kaunas;€ 4350 – 6550;Senior;5 days ago;2025.06.11;N/A;https://www.cvonline.lt/en/vacancy/1367476/seb/lead-site-reliability-engineer-in-digital-processing-or-seb-kaunas
Training Manager;People Link, UAB;Kaunas;€ 4000 – 5000;N/A;5 days ago;2025.06.06;N/A;https://www.cvonline.lt/en/vacancy/1367406/people-link-uab/training-manager
Senior Salesforce Developer;Accenture;Vilnius;€ 3600 – 5500;Senior;5 days ago;2025.06.06;N/A;https://www.cvonline.lt/en/vacancy/1367349/accenture/senior-salesforce-developer
