Title;Company;Location;Salary;Seniority;Published;Expires;Skills
Senior JAVA Developer for Pathway team;Visma Tech, UAB;Vilnius / Remote;€ 3600 – 6300;Senior;11 days ago;2025.06.04;java, go, react, spring, aws, gcp
Techninės kontrolės inžinierius (-ė);Iremas, UAB;Jonava;€ 1600 – 3000;N/A;11 days ago;2025.06.04;N/A
Komercijos vadybininkas (-ė);Iremas, UAB;Jonava;€ 1700 – 3000;N/A;11 days ago;2025.06.04;N/A
Power Platform Developer;Avia Solutions Group;Vilnius / Remote;€ 2500 – 4950;N/A;14 days ago;2025.07.31;ai, rest api
Duomenų analitinių produktų grupės vadovas (-ė);Registrų centras, VĮ;Vilnius;€ 3161 – 4741;N/A;14 days ago;2025.05.16;N/A
IT Project Manager;People Link, UAB;Kaunas;€ 4000 – 5000;N/A;14 days ago;2025.06.01;N/A
Kibernetinių incidentų tyrimo analitikė (-as);LTG;Vilnius;€ 3230 – 4840;N/A;14 days ago;2025.05.16;N/A
SAP HR specialistas (-ė);Lidl Lietuva, UAB;Vilnius;€ 2135 – 2605;N/A;14 days ago;2025.06.01;N/A
Senior Finacial Data Engineer | SEB, Vilnius;SEB;Vilnius;€ 3650 – 5450;Senior;16 days ago;2025.06.15;N/A
Public IT Tender Specialist;Baltic Amadeus, UAB;Vilnius / Remote;€ 2455 – 4132;N/A;16 days ago;2025.05.30;N/A
Programinės įrangos inžinierius (-ė) .NET, C#;Viltechmeda, UAB;Vilnius;€ 3000 – 3600;N/A;16 days ago;2025.05.30;N/A
Software QA Engineer (manual);Viltechmeda, UAB;Vilnius;€ 2500 – 3000;N/A;16 days ago;2025.05.30;go
Kibernetinio saugumo analitikas (-ė) (pamaininis darbo grafikas);UAB NRD CS;Vilnius / Remote;€ 2680 – 3700;N/A;16 days ago;2025.05.30;N/A
Experienced Backend Engineer - Wix Blog;Wix.com, UAB;Vilnius;€ 3500 – 5000;N/A;16 days ago;2025.05.30;go
DevOps Engineer;Wix.com, UAB;Vilnius;€ 4500 – 6000;N/A;16 days ago;2025.05.30;kubernetes, aws, gcp, terraform, ansible, linux, networking
