Title;Company;Location;Salary
TEAM LEAD OF IT SYSTEMS ANALYSIS;Ignitis Group;Vilnius;€ 3594 – 5390
PROGRAMUOTOJAS (-A) (PASTATŲ VALDYMAS);UAB „Energus Group“;Vilnius;€ 2455 – 3801
IS plėtros skyriaus vadovas (-ė);Emplonet, UAB;Vilnius;€ 3602 – 5900
Junior Integration Engineer;Johnson Matthey Global Business Services Lithuania, UAB;Vilnius;€ 3416 – 4666
Integration Engineer;Johnson Matthey Global Business Services Lithuania, UAB;Vilnius;€ 3958 – 5416
Mid-Level Full-Stack Developer (React + .NET);UAB „Energus Group“;Vilnius;€ 3306 – 4959
Vyr. programuotojas (-a) (JAVA);Registrų centras, VĮ;Vilnius;€ 2880 – 4320
Vyr. programuotojas (-a) (.NET technologija);Registrų centras, VĮ;Vilnius;€ 2880 – 4320
Duomenų inžinierius(-ė)/Data Engineer;Metso Global Business Services, UAB;Šiauliai;€ 2500 – 3200
IT Infrastructure Team Lead;FL Technics;Vilnius / Remote;€ 5000 – 5800
Savitarnos IS vystymo grupės vadovas (-ė);Registrų centras, VĮ;Vilnius;€ 3520 – 5280
AI DEVELOPER;UAB „Energus Group“;Vilnius;€ 3306 – 4959
AI Engineer;EY;Vilnius / Remote;€ 2100 – 4000
.NET developer;Elgama-Elektronika, UAB;Kaunas;€ 2800 – 4000
IT sistemų specialistas (-ė);Emplonet, UAB;Vilnius;€ 2454 – 2806
JAVA developer for Roxit team;Visma Tech, UAB;Vilnius / Remote;€ 1600 – 4600
Back-End Software developer (Java);Emplonet, UAB;Kaunas;€ 4600 – 5500
E. komercijos asistentė (-as) Utenoje;Telemarketing, UAB;Utena;€ 1800
Workday Integration Specialist;InMedica, UAB;Vilnius / Remote;€ 1900 – 4000
.NET Software Engineer in Welcoming and Orchestration Tribe;Danske Bank Lithuania;Vilnius;€ 3520 – 5280
Design Team Lead – Vilnius Design Studio;Wix.com, UAB;Vilnius;€ 4500 – 5500
Chief DevOps Engineer;Danske Bank Lithuania;Vilnius;€ 5600 – 8400
Senior Business Analyst for Agent Foundry Team;Danske Bank Lithuania;Vilnius;€ 3600 – 5400
Associate Quantitative Analyst;Danske Bank Lithuania;Vilnius;€ 2640 – 3960
Test automation specialist in Custody Cash team | SEB, Vilnius | SEB, Vilnius;SEB;Vilnius;€ 3650 – 5450
Automation Engineer with Power Platform experience | SEB, Vilnius;SEB;Vilnius;€ 2200 – 3400
Platform Engineer;Quadigi, UAB;Vilnius;€ 3800 – 6300
Front-End Engineer (React Native) in Wealth Planning and Investments Tribe;Danske Bank Lithuania;Vilnius;€ 3360 – 5040
QA Engineer (opportunity to become a back-end developer) for Hubble team;Visma Tech, UAB;Vilnius / Remote;€ 3000 – 4100
Senior Data Engineer in Transaction Analysis and Models Squad;Danske Bank Lithuania;Vilnius;€ 4560 – 6841
Senior Systems Engineer - Windows Server;Moody's;Vilnius;€ 4200 – 6700
Senior Systems Engineer - Linux;Moody's;Vilnius;€ 4200 – 6700
