Title,Company,Location,Salary,min_salary,max_salary,avg_salary,salary_range,job_category,seniority
Rūšiuotoja (-as) (Vežame į darbą),UAB „Bauwerk Group Lietuva“,Elektrėnai,1680-2100,1680.0,2100.0,1890.0,420.0,Other,Other
Ophtalmologist,VPSO CONSEIL,France,10000-20000,10000.0,20000.0,15000.0,10000.0,Logistics & Transport,Other
Junior Recruiter,Orca Crew Services B.V. Lietuvos filialas,Klaipėda,1550-2150,1550.0,2150.0,1850.0,600.0,Design & UI/UX,Junior
Virėjas (-a) - Kulinarijos cecho darbuotojas (-a) (Žuvų produkcija),AB „Išlaužo žuvis“,Prienai,1000-1500,1000.0,1500.0,1250.0,500.0,Food Service,Other
Automatikų komandos lyderis (-ė),UAB „FREDA“,Kaunas,3500-4500,3500.0,4500.0,4000.0,1000.0,Other,Other
TRANSPORTO VADYBININKUI (-EI) 🌎,UAB „MTL Group“,Vilnius,1000-2000,1000.0,2000.0,1500.0,1000.0,Design & UI/UX,Other
Pakuotojas (-a) Vokietijoje (Tinkamas Poroms),MB „Worknos“,Germany,1900-2600,1900.0,2600.0,2250.0,700.0,Other,Other
SERVISO DARBUOTOJO,UAB „Felder Group Lietuva“,Vilnius,1000-1600,1000.0,1600.0,1300.0,600.0,Other,Other
TECHNINIS KONSULTANTAS - PARDAVIMO VADYBININKAS,UAB „Felder Group Lietuva“,Vilnius,1000-1800,1000.0,1800.0,1400.0,800.0,Sales & Customer Service,Other
Operatorius - technikas,UAB „Mondelez Lietuva Production“,Kaunas,2500,2500.0,,2500.0,0.0,Manufacturing & Production,Other
Grožio konsultantė (-as) - Dior prekės ženklo ambasadorė (-ius) Vilniaus oro uoste,UAB „General Promotion Baltic“,Vilnius,1915,1915.0,,1915.0,0.0,Sales & Customer Service,Other
"Plataus profilio statybininko - Staliaus, Švedijoje!!!",MB „Litukas“,Sweden,From 14,2240.0,358400.0,2240.0,0.0,Construction,Other
Transporto užsakymų vadybininkas (-ė),DS Smith Packaging,Vilnius,1870-2185,1870.0,2185.0,2027.5,315.0,Sales & Customer Service,Other
Žaliavų sandėlininkas (-ė) (LEZ),UAB FREDA II,Kaunas,2300-2500,2300.0,2500.0,2400.0,200.0,Logistics & Transport,Other
STATYBOS DARBŲ VADOVAS (-Ė),UAB „Projektana“,Kaunas,1500-3000,1500.0,3000.0,2250.0,1500.0,Management,Other
Betonuotojas,UAB „Projektana“,Kaunas,1300-2300,1300.0,2300.0,1800.0,1000.0,Other,Other
Mechanizatorius,UAB „Projektana“,Kaunas,1400-2600,1400.0,2600.0,2000.0,1200.0,Other,Other
Gamybos vadovas (-ė),UAB HI-LABS,Kaunas,1500-2500,1500.0,2500.0,2000.0,1000.0,Manufacturing & Production,Other
Derintojas - operatorius,AB „Pieno žvaigždės“,Panevėžys,1900-2010,1900.0,2010.0,1955.0,110.0,Manufacturing & Production,Other
TIESIOGINIŲ ŽAIDIMŲ VEDĖJAS (-A) (APMOKOME),UAB „TV ŽAIDIMAI“,Vilnius,900-1600,900.0,1600.0,1250.0,700.0,Other,Other
Jaunesnysis (-ioji) projektų vadovas (-ė) (Mažmeninė prekyba),UAB „Premiumstore“,Kaunas,2200-2700,2200.0,2700.0,2450.0,500.0,IT Management,Junior
Buhalteris (-ė),myTU (UAB „Travel Union“ ),Vilnius,2500-3000,2500.0,3000.0,2750.0,500.0,Finance & Accounting,Other
Recruiter,UAB „Nordcurrent Group“,Vilnius,3000-4000,3000.0,4000.0,3500.0,1000.0,Design & UI/UX,Other
Inžinierius automatikas (-ė),UAB FREDA II,Kaunas,2000-3200,2000.0,3200.0,2600.0,1200.0,Manufacturing & Production,Other
Pagalbinis (-ė) darbuotojas (-a) - padangų montuotojas (-a). PATIRTIS NEBŪTINA!,UAB „MELGA“,Vilnius,800-1300,800.0,1300.0,1050.0,500.0,Other,Other
Autoplovėjas - valytojas,MB „Valymo technologijos“,Kaunas,1000,1000.0,,1000.0,0.0,Manufacturing & Production,Other
Langų termoprofilių montuotojas - brigadininkas,"Megavalda, UAB",Kaunas,1200-2000,1200.0,2000.0,1600.0,800.0,Other,Other
Studijų krypčių mokslo vadovas,Šv. Ignaco Lojolos Kolegija,Kaunas,1500,1500.0,,1500.0,0.0,Management,Other
Customer Integration and Data Management Specialist,„Cencora“,Vilnius,2485-3550,2485.0,3550.0,3017.5,1065.0,Data & Analytics,Mid
VEISLYNO KOORDINATORIUS (-Ė),"KIKA LT, UAB",Kaunas,1500-1900,1500.0,1900.0,1700.0,400.0,Other,Other
Dažymo linijos operatorius,UAB „Koloro“,Vilnius,From 1400,1400.0,,1400.0,0.0,Manufacturing & Production,Other
Didmenos skyriaus asistentas/-ė,UAB „KONFESTA“,Vilnius,2069-2455,2069.0,2455.0,2262.0,386.0,HR & Administration,Other
Turistinio autobuso vairuotojas,UAB „Meteorit Turas“,Vilnius,2000-2500,2000.0,2500.0,2250.0,500.0,Logistics & Transport,Other
"Klientų aptarnavimo specialistas (-ė) Panevėžio r., Krekenavoje",UAB „Viada LT“,Krekenava,1200-1400,1200.0,1400.0,1300.0,200.0,Sales & Customer Service,Mid
Infrastruktūros inžinierė (-ius) (techninė dokumentacija ir atitiktis),LTG,Vilnius,2330-3500,2330.0,3500.0,2915.0,1170.0,DevOps & Systems,Other
Klientų aptarnavimo skyriaus specialistas,UAB „Edukacija“,Kaunas,1500-1800,1500.0,1800.0,1650.0,300.0,Sales & Customer Service,Mid
Vairuotojų apskaitos vadybininkė (as),UAB „Vestex transport“,Kaunas,From 1100,1100.0,,1100.0,0.0,Sales & Customer Service,Other
Technikos vadybininkas (-ė),UAB „Vestex transport“,Kaunas,From 1200,1200.0,,1200.0,0.0,Sales & Customer Service,Other
Svarbių klientų vadybininkas (-ė) (Key Account Manager),ŽŪB „Nematekas“,Kaišiadorys,1600-2000,1600.0,2000.0,1800.0,400.0,Sales & Customer Service,Other
Klientų konsultavimo komandos vadovas (-ė),AB Vilniaus šilumos tinklai,Vilnius,3200-4700,3200.0,4700.0,3950.0,1500.0,IT Management,Other
Asistentas dažymo linijoje,UAB „Koloro“,Vilnius,From 1200,1200.0,,1200.0,0.0,HR & Administration,Other
Stalius,UAB „Įdarbinimo tarpininkavimo centras“,Kaunas,From 1700,1700.0,,1700.0,0.0,Other,Other
Pardavimų Vadybininkas (-ė),UAB „NP grupė“,Vilnius,1400-3200,1400.0,3200.0,2300.0,1800.0,Sales & Customer Service,Other
Elektrikas (-ė) PRANCŪZŲ KALBA,UAB „RNDV Group“,France,15-18,2400.0,2880.0,2640.0,3.0,Other,Other
Marketingo vadybininko asistentas (-ė),UAB „Alteus“,Vilnius,1600-2400,1600.0,2400.0,2000.0,800.0,Sales & Customer Service,Other
Prekių atrinkėjas (-a) - krovėjas (-a),UAB „Signeda“,Kaunas,1402-2095,1402.0,2095.0,1748.5,693.0,Marketing & Communications,Other
Prekių atrinkėjas (-a) - krovėjas (-a) slenkančiu grafiku,UAB „Signeda“,Kaunas,1501-2367,1501.0,2367.0,1934.0,866.0,Design & UI/UX,Other
Restobaro administratorė,UAB „Gaisrinė“,Klaipėda,5.50-7,880.0,1120.0,1000.0,1.5,DevOps & Systems,Other
"Kasininkas (-ė) - pardavėjas (-a),STOTIES G. 1,UKMERGĖ 0,5 ET.","IKI Lietuva, UAB",Ukmergė,525-582,525.0,582.0,553.5,57.0,Retail,Other
Gamybos administratoriaus asistentas,UAB „IF Concept“,Panevėžys,From 1000,1000.0,,1000.0,0.0,DevOps & Systems,Other
"Kasininkas (-ė) - pardavėjas (-a), NEMUNO G. 70-16, PANEVĖŽYS","IKI Lietuva, UAB",Panevėžys,1050-1165,1050.0,1165.0,1107.5,115.0,Retail,Other
Krautuvo vairuotojas (-a) Vokietijoje! Išvyk greitai ir gauk 150 Eur premiją!,UAB „Headex“,Germany,1900-2000,1900.0,2000.0,1950.0,100.0,Logistics & Transport,Other
