Title,Company,Location,Salary,Seniority,min_salary,max_salary,avg_salary,salary_range,job_category,seniority
QA Engineer (Omni+ Unit),"Baltic Amadeus, UAB",Vilnius / Remote,€ 2200 – 3310,Unspecified,2200.0,3310.0,2755.0,1110.0,QA Engineer,Not Specified
QA Engineer (Junior),"Baltic Amadeus, UAB",Vilnius / Remote,€ 1100 – 2200,Junior,1100.0,2200.0,1650.0,1100.0,QA Engineer,Junior
PHP Developer (Junior),"Baltic Amadeus, UAB",Vilnius / Remote,€ 1100 – 2900,Junior,1100.0,2900.0,2000.0,1800.0,Back-end developer,Junior
PHP Developer,"Baltic Amadeus, UAB",Vilnius / Remote,€ 2600 – 4500,Unspecified,2600.0,4500.0,3550.0,1900.0,Back-end developer,Not Specified
IT Product manager,CV-Online klientas,Kaunas,€ 4000 – 5000,Unspecified,4000.0,5000.0,4500.0,1000.0,Other,Not Specified
Back-End Developer (AI implementation),"Emplonet, UAB",Vilnius,€ 4000 – 6000,Unspecified,4000.0,6000.0,5000.0,2000.0,Back-end developer,Not Specified
Outperformer - Global Management Program: Business Track,"HILTI COMPLETE SYSTEMS, UAB",Vilnius / Remote,€ 2700 – 3300,Unspecified,2700.0,3300.0,3000.0,600.0,Other,Not Specified
Engineering Leadership Development Program for Graduates,"HILTI COMPLETE SYSTEMS, UAB",Vilnius / Remote,€ 2700 – 3300,Senior,2700.0,3300.0,3000.0,600.0,Other,Junior
IS specialistas I Technologijų skyrius,CENTRINĖ PROJEKTŲ VALDYMO AGENTŪRA VŠĮ,Vilnius / Remote,€ 2374 – 2963,Unspecified,2374.0,2963.0,2668.5,589.0,System Administrator/Architect,Not Specified
Technologijų vadovas (-ė) (Microsoft produktams),"Registrų centras, VĮ",Vilnius,€ 3520 – 5280,Unspecified,3520.0,5280.0,4400.0,1760.0,Other,Not Specified
Senior recruiter - Regional coordinator,Digmatix,Vilnius / Remote,€ 3000 – 4000,Senior,3000.0,4000.0,3500.0,1000.0,Other,Senior
IT Business Analyst,"EUROAPOTHECA, UAB",Vilnius,€ 2800 – 3800,Unspecified,2800.0,3800.0,3300.0,1000.0,Business Analyst,Not Specified
Large Language Modelling/Gen AI engineer,Accenture,Vilnius / Remote,€ 2600 – 5050,Unspecified,2600.0,5050.0,3825.0,2450.0,Data Scientist,Not Specified
MLOps engineer,Accenture,Vilnius / Remote,€ 3300 – 5350,Unspecified,3300.0,5350.0,4325.0,2050.0,Data Scientist,Not Specified
System Developer (RPA),Cognizant Lietuva,Vilnius,€ 3500 – 4420,Unspecified,3500.0,4420.0,3960.0,920.0,Software Developer,Not Specified
Duomenų inžinierius (-ė) Duomenų valdymo departamente,"Šiaulių bankas, AB",Vilnius / Remote,€ 3220 – 4830,Unspecified,3220.0,4830.0,4025.0,1610.0,Data Engineer,Not Specified
Vyr. analitikas (-ė),"Inovacijų agentūra, VšĮ",Vilnius / Remote,€ 3200 – 3500,Unspecified,3200.0,3500.0,3350.0,300.0,Data Analyst,Senior
