Title,Company,Location,Salary,min_salary,max_salary,avg_salary,salary_range,job_category,seniority
"Data Quality Engineer for Sustainable Banking| SEB, Vilniu",SEB,Vilnius,€ 2850 – 5450,2850.0,5450.0,4150.0,2600.0,QA Engineer,Not Specified
Public IT Tender Specialist,"Baltic Amadeus, UAB",Vilnius / Remote,€ 2455 – 4132,2455.0,4132.0,3293.5,1677.0,Other,Not Specified
"Programinės įrangos inžinierius (-ė) .NET, C#","Viltechmeda, UAB",Vilnius,€ 3000 – 3600,3000.0,3600.0,3300.0,600.0,.NET Developer,Not Specified
Software QA Engineer (manual),"Viltechmeda, UAB",Vilnius,€ 2500 – 3000,2500.0,3000.0,2750.0,500.0,QA Engineer,Not Specified
IT vadovas (-ė),"Manpower Lit, UAB",Trakai,€ 3500 – 5000,3500.0,5000.0,4250.0,1500.0,Other,Not Specified
Experienced Backend Engineer - Wix Blog,"Wix.com, UAB",Vilnius,€ 3500 – 5000,3500.0,5000.0,4250.0,1500.0,Back-end developer,Senior
DevOps Engineer,"Wix.com, UAB",Vilnius,€ 4500 – 6000,4500.0,6000.0,5250.0,1500.0,DevOps,Not Specified
"Backend Engineer, Devex Platform","Wix.com, UAB",Vilnius,€ 2500 – 4000,2500.0,4000.0,3250.0,1500.0,Back-end developer,Not Specified
Senior Backend Engineer – CTO Group,"Wix.com, UAB",Vilnius,€ 5000 – 8000,5000.0,8000.0,6500.0,3000.0,Back-end developer,Senior
Senior Data Platform Engineer for Data Platform Tribe,Danske Bank Lithuania,Vilnius,€ 4160 – 6240,4160.0,6240.0,5200.0,2080.0,DevOps,Senior
Senior IT Software Engineer,Danske Bank Lithuania,Vilnius,€ 4480 – 6720,4480.0,6720.0,5600.0,2240.0,Software Developer,Senior
IT Platform Engineer within Data Management Support,Danske Bank Lithuania,Vilnius,€ 3280 – 4920,3280.0,4920.0,4100.0,1640.0,Data Engineer,Not Specified
"Lead Site Reliability Engineer in Digital Processing | SEB, Vilnius",SEB,Vilnius,€ 4350 – 6550,4350.0,6550.0,5450.0,2200.0,DevOps,Senior
Software Engineer (Java),Cognizant Lietuva,Vilnius / Remote,€ 3240 – 3810,3240.0,3810.0,3525.0,570.0,Java Developer,Not Specified
Senior Data Scientist for Data Validation Team,Danske Bank Lithuania,Vilnius,€ 3440 – 5160,3440.0,5160.0,4300.0,1720.0,Data Scientist,Senior
IT pirkimų vyr. specialistas (-ė),"Registrų centras, VĮ",Vilnius,€ 2376 – 3564,2376.0,3564.0,2970.0,1188.0,Other,Senior
Senior .NET Software Engineer in Finance Tribe,Danske Bank Lithuania,Vilnius,€ 4560 – 6840,4560.0,6840.0,5700.0,2280.0,.NET Developer,Senior
Data Engineering Intern,Littelfuse LT,Kaunas,€ 1200 – 1400,1200.0,1400.0,1300.0,200.0,Data Engineer,Junior
IT Security Intern,Littelfuse LT,Kaunas,€ 1200 – 1400,1200.0,1400.0,1300.0,200.0,Security,Junior
Product Engineer,AS Inbank filialas,Vilnius,€ 3000 – 5000,3000.0,5000.0,4000.0,2000.0,Other,Not Specified
Chief DevOps Specialist for SDLC and Standards,Danske Bank Lithuania,Vilnius,€ 5600 – 8399,5600.0,8399.0,6999.5,2799.0,DevOps,Senior
Java programuotojas (-a),"Regitra, AB",Vilnius,€ 2500 – 3300,2500.0,3300.0,2900.0,800.0,Java Developer,Not Specified
Produkto savininkas (-ė) (turintis (-i) pavaldžių žmonių),"Emplonet, UAB",Vilnius,€ 2708 – 4062,2708.0,4062.0,3385.0,1354.0,Other,Not Specified
Business Analyst,FL Technics,Vilnius / Remote,€ 3300 – 3650,3300.0,3650.0,3475.0,350.0,Business Analyst,Not Specified
