Title,Company,Location,Salary,min_salary,max_salary,avg_salary,salary_range,job_category,seniority
DUOMENŲ VALDYSENOS (DATA GOVERNANCE) KOORDINATORĖ (-IUS),Ignitis Group,Vilnius,€ 3267 – 4900,3267.0,4900.0,4083.5,1633.0,Other,Not Specified
"Google Cloud Platform Engineer | SEB, Vilnius",SEB,Vilnius,€ 2850 – 5450,2850.0,5450.0,4150.0,2600.0,DevOps,Not Specified
"Google Cloud Platform Engineer | SEB, Kaunas",SEB,Kaunas,€ 2850 – 5450,2850.0,5450.0,4150.0,2600.0,DevOps,Not Specified
HEAD OF INTEGRATIONS (F/M/D),Ignitis Group,Vilnius,€ 4247 – 6370,4247.0,6370.0,5308.5,2123.0,Other,Senior
"Senior .NET developer | SEB, Vilnius",SEB,Vilnius,€ 3650 – 5450,3650.0,5450.0,4550.0,1800.0,.NET Developer,Senior
"DevOps Engineer for Log Infrastructure | SEB, Vilnius",SEB,Vilnius,€ 2850 – 5450,2850.0,5450.0,4150.0,2600.0,DevOps,Not Specified
Senior Software Engineer (.NET) in AML Review Tribe,Danske Bank Lithuania,Vilnius,€ 4560 – 6840,4560.0,6840.0,5700.0,2280.0,.NET Developer,Senior
Java Engineering Lead to establish a new squad in Digital Core Tribe,Danske Bank Lithuania,Vilnius,€ 5520 – 8280,5520.0,8280.0,6900.0,2760.0,Java Developer,Senior
Senior Java Developer for Welcoming and Orchestration Tribe,Danske Bank Lithuania,Vilnius,€ 4560 – 6840,4560.0,6840.0,5700.0,2280.0,Java Developer,Senior
"Mid/Senior Java Developer | SEB, Vilnius",SEB,Vilnius,€ 2850 – 5450,2850.0,5450.0,4150.0,2600.0,Java Developer,Mid
"Mid/Senior Java Developer | SEB, Kaunas",SEB,Kaunas,€ 2850 – 5450,2850.0,5450.0,4150.0,2600.0,Java Developer,Mid
Senior .Net Software Engineer for Risk and Compliance Tribe,Danske Bank Lithuania,Vilnius,€ 4560 – 6840,4560.0,6840.0,5700.0,2280.0,.NET Developer,Senior
JUNIOR ORACLE DEVELOPER (F/M/D),Ignitis Group,Vilnius,€ 2532 – 3800,2532.0,3800.0,3166.0,1268.0,Database Admin,Junior
IT Solution Architect for People Tribe,Danske Bank Lithuania,Vilnius,€ 5040 – 7560,5040.0,7560.0,6300.0,2520.0,Other,Not Specified
Chief Data Architect in Financial Crime Lifecycle Management,Danske Bank Lithuania,Vilnius,€ 6640 – 9960,6640.0,9960.0,8300.0,3320.0,Other,Senior
IT INFRASTRUCTURE ADMINISTRATOR (F/M/D),Ignitis Group,Vilnius,€ 2379 – 3568,2379.0,3568.0,2973.5,1189.0,IT Support,Not Specified
"Application Support specialist for Data Quality | SEB, Vilnius",SEB,Vilnius,€ 2850 – 4250,2850.0,4250.0,3550.0,1400.0,QA Engineer,Not Specified
Senior Cloud Specialist: Kubernetes and Linux,Danske Bank Lithuania,Vilnius,€ 4560 – 6840,4560.0,6840.0,5700.0,2280.0,DevOps,Senior
Senior Cloud Specialist: Kubernetes,Danske Bank Lithuania,Vilnius,€ 4560 – 6840,4560.0,6840.0,5700.0,2280.0,DevOps,Senior
Data Engineer for Global Insights,Danske Bank Lithuania,Vilnius,€ 3440 – 5160,3440.0,5160.0,4300.0,1720.0,Data Engineer,Not Specified
"Java Developer for Event Driven Integration Team | SEB,Vilnius",SEB,Vilnius,€ 3650 – 5450,3650.0,5450.0,4550.0,1800.0,Java Developer,Not Specified
Network Procurement Manager (confidential),Alliance for Recruitment,Vilnius,€ 4460 – 5950,4460.0,5950.0,5205.0,1490.0,Other,Not Specified
Senior Back-End Developer (Node.js),Alliance for Recruitment,Vilnius,€ 4400 – 6600,4400.0,6600.0,5500.0,2200.0,Back-end developer,Senior
DevOps Engineer,Alliance for Recruitment,Kaunas,€ 6699 – 6700,6699.0,6700.0,6699.5,1.0,DevOps,Not Specified
IT Solution Owner (Forestry Systems) – Ingka Investments,WorkingDay Latvia SIA,Kaunas / Remote,€ 4700 – 6700,4700.0,6700.0,5700.0,2000.0,Other,Not Specified
Senior DevOps Engineer,Alliance for Recruitment,Vilnius,€ 5730 – 7050,5730.0,7050.0,6390.0,1320.0,DevOps,Senior
Junior Website Content Coordinator (UX/UI),Alliance for Recruitment,Vilnius,€ 1500 – 2000,1500.0,2000.0,1750.0,500.0,Other,Junior
Java Software Engineer,Alliance for Recruitment,Lithuania,€ 4010 – 7515,4010.0,7515.0,5762.5,3505.0,Java Developer,Not Specified
AI Developer (Remote-Friendly),Alliance for Recruitment,Vilnius,€ 3000 – 5000,3000.0,5000.0,4000.0,2000.0,Software Developer,Not Specified
System Engineer Storage,Alliance for Recruitment,Kaunas,€ 3000 – 5000,3000.0,5000.0,4000.0,2000.0,System Administrator/Architect,Not Specified
