Title;Company;Location;Salary;Seniority;Published
AI Engineer;EY;Vilnius;2100-4000;N/A;10 days ago
SOFTWARE QA ENGINEER;UAB „Viltechmeda“;Vilnius;2500-3000;N/A;10 days ago
SOFTWARE QUALITY ENGINEER;UAB „Viltechmeda“;Vilnius;3000-3700;N/A;10 days ago
Saugumo sprendimų produktų vadybininkas (-ė) (Technical Presales);ATEA grupė;Vilnius;1000-1500;N/A;10 days ago
Programų priežiūros administratorius (-ė);UAB „KESKO SENUKAI LITHUANIA“;Kaunas;1200-1300;N/A;10 days ago
Mid/Senior .NET Full-Stack Developer (Vensafe);UAB „StrongPoint“;Vilnius;3240-6450;Senior;10 days ago
IT Onsite Inžinierius (-ė) Vilniuje;UAB „BTT Group“;Vilnius;1200-1600;N/A;10 days ago
Client Integration Senior Specialist;Citco Group of Companies;Vilnius;1700-2300;Senior;10 days ago
IT inžinierius (-ė);UAB „BSW Engineering“;Vilnius;2800-3200;N/A;10 days ago
Kibernetinių grėsmių paieškos specialistas (-ė);Nacionalinis kibernetinio saugumo centras prie KAM;Vilnius;3000-4000;N/A;10 days ago
Tech Lead / Solution Architect in Mobile Team | SEB, Vilnius;SEB;Vilnius;4350-6550;Senior;10 days ago
IT specialistas (-ė);UAB „Augma“;Klaipėda;1100-1300;N/A;10 days ago
IT SYSTEM ARCHITECT (ORACLE);UAB Emplonet;Vilnius;5000-5700;N/A;10 days ago
SENIOR BACKEND ORACLE PL/SQL DEVELOPER;UAB Emplonet;Vilnius;3800-5200;Senior;10 days ago
Software Engineer (PHP);UAB „NFQ Technologies“;Vilnius;2500-4640;N/A;10 days ago
Jaun. ERP Konsultantas (-ė) (Tiekimo grandinė);TMV Capital įmonių grupė;Kaunas;1400-2000;N/A;11 days ago
Python Developer (for AI Agent);CyberCare;Kaunas;3000-4300;N/A;11 days ago
Quality Assurance Team Manager;UAB „Bitė Lietuva“;Vilnius;N/A;N/A;13 days ago
IT SYSTEM ARCHITECT (JAVA);UAB Emplonet;Vilnius;5000-5700;N/A;13 days ago
SENIOR JAVA DEVELOPER;UAB Emplonet;Vilnius;3800-5200;Senior;13 days ago
SOFTWARE DEVELOPER;UAB Emplonet;Kaunas;3750-5700;N/A;13 days ago
KOMPIUTERINIŲ DARBO VIETŲ PRIEŽIŪROS SPECIALISTAS (-Ė);AB „Kelių priežiūra“;Klaipėda;2100-2400;N/A;13 days ago
SENIOR/MID- LEVEL FULL-STACK DEVELOPER (React & .NET);UAB „Veiklos Valdymo Sprendimai“;Kaunas;2200-3700;Senior;13 days ago
Senior .NET Core Engineer;EVERWEST, UAB;Vilnius;4000-5200;Senior;13 days ago
DevOps Engineer | Mid-Senior;UAB „DocLogix“;Vilnius;3200-6000;Senior;13 days ago
SEO praktikantas (-ė);UAB „VARLE“;Vilnius;N/A;N/A;13 days ago
Lean Management Intern;UAB „Continental Automotive Lithuania“;Kaunas;From 1073;Junior;13 days ago
Senior AML Investigations Analyst (Crypto);UAB „Guidehouse Lithuania“;Vilnius;2000-2600;Senior;13 days ago
Ieškome naujo inžinierių komandos nario į Klientų aptarnavimo skyriaus IS palaikymo grupę!;UAB „UCS BALTIC“;Vilnius;900-1200;N/A;13 days ago
CLOUD AI/WEB APP DEVELOPMENT LEAD • TELEMATICS;„Teltonikos“ įmonių grupė;Vilnius;4680-6587;Senior;13 days ago
Database Administrator;BIGBANK AS filialas;Vilnius;3900-7768;N/A;13 days ago
Linux sistemų administratorius (-ė);UAB „Interneto vizija“;Vilnius;2000-4000;N/A;13 days ago
IT ADMINISTRATORIUS (-Ė);UAB „PERSONALO SPRENDIMAI“;Kaunas;2000-2500;N/A;13 days ago
Payments Support Representative;Shift4 Payments Lithuania UAB;Vilnius;1575;N/A;13 days ago
Senior Quality Assurance Specialist;NORTHWAY ĮMONIŲ GRUPĖ;Vilnius;Up to 3500;Senior;13 days ago
Junior ESG Project Manager;Modus Group;Vilnius;From 2600;Junior;13 days ago
Test Automation Engineer (Python);UAB „Quadigi“;Vilnius;2300-5000;N/A;13 days ago
Controlling Intern;UAB „Continental Automotive Lithuania“;Kaunas;From 1074;Junior;13 days ago
VYR. GIS inžinierius (-ė);UAB „Vilniaus apšvietimas“;Vilnius;2600-2800;N/A;13 days ago
Verslo vystymo analitikas (-ė);UAB „Essmedi“;Vilnius;1200-1400;N/A;14 days ago
Senior Software Engineer (PHP);UAB „NFQ Technologies“;Vilnius;4500-7500;Senior;14 days ago
Manual Quality Assurance Engineer;UAB „People Link“;Kaunas;2000-4000;N/A;14 days ago
TESTUOTOJAS (-A);UAB „ASHBURN International“;Vilnius;1500-3000;N/A;N/A
Mid-Level Full-Stack Developer (React + .NET);UAB „ENERGUS GROUP“;Vilnius;2000-3000;Mid;14 days ago
Automated Quality Assurance Engineer;UAB „People Link“;Kaunas;2500-5000;N/A;14 days ago
IOT SOLUTIONS ENGINEER • TELEMATICS;„Teltonikos“ įmonių grupė;Vilnius;1907-2600;N/A;14 days ago
IT Sistemos Administratorius (-ė);UAB „Dominari“;Panevėžys;N/A;N/A;14 days ago
UX/UI dizaineris (-ė);UAB „NEVDA“;Vilnius;1800-2500;N/A;14 days ago
PHP PROGRAMUOTOJAS (-A);UAB „Kosmelita“;Kaunas;From 1700;N/A;14 days ago
Senior Functional Test Engineer;UAB „Continental Automotive Lithuania“;Kaunas;3100-3800;Senior;14 days ago
Full-Stack PHP/SYMFONY programuotojas (-a);UAB Integris;Vilnius;From 3000;N/A;14 days ago
IT analitikas (-ė);AB Vilniaus šilumos tinklai;Vilnius;2300-3445;N/A;14 days ago
Paštomatų tinklo plėtros vadovas (-ė);SmartPosti, UAB;Vilnius;2800-3400;N/A;14 days ago
.NET TEAM LEAD • TELEMATICS;„Teltonikos“ įmonių grupė;Vilnius;4680-5547;Senior;14 days ago
Juniper Specialist / System Engineer Network (all genders);DATAGROUP Operations Lithuania UAB;Kaunas;2000-5000;N/A;14 days ago
IT Network System Engineer (all genders);DATAGROUP Operations Lithuania UAB;Kaunas;2000-5000;N/A;14 days ago
IT Network Specialist (all genders) with focus on firewall;DATAGROUP Operations Lithuania UAB;Kaunas;2000-5000;N/A;14 days ago
TECHNINIO PALAIKYMO SPECIALISTAS (-Ė);UAB „Programmatus“;Vilnius;900-1500;N/A;14 days ago
Odoo programos administratorius (-ė) 0,5 etato;UAB „DOLETA“;Vilnius;1500;N/A;14 days ago
IT projektų vadovė (-as) - Informacinių technologijų ir telekomunikacijų centras;EPSO-G grupė;Vilnius;4000-5000;N/A;14 days ago
Backend Engineer - Core Banking Team;TransferGo Ltd;Vilnius;3600-4100;N/A;15 days ago
Backend Engineer - DevEx Team;TransferGo Ltd;Vilnius;3600-4100;N/A;15 days ago
.NET developer | Mid-Senior;UAB „DocLogix“;Vilnius;3200-7000;Senior;15 days ago
Paštomatų tinklo plėtros vadovas (-ė);SmartPosti, UAB;Kaunas;2800-3400;N/A;15 days ago
Entry level position for your IT career;UAB „LENDERS“;Vilnius;1100-1500;Junior;15 days ago
Transporto apskaitos, darbo užmokesčio valdymo sistemos analitikas (-ė);UAB „SCM Software“;Vilnius;2000-3500;N/A;15 days ago
