Title;Company;Location;Salary;Seniority;Published;Skills
IT Services/Products Sales Manager;STFF Stafferty, UAB;Klaipėda;900-1200;N/A;5 days ago;go, ai
Parcel Sorter (Night Shift) – Transportation to/from the Workplace Provided;Venipak įmonių grupė;Kaunas;1400-2500;N/A;5 days ago;ai
VERSLO VALDYMO SISTEMŲ KONSULTANTO (-ĖS) PRAKTIKA (su galimybe įsidarbinti);OIXIO, UAB;Kaunas;N/A;N/A;5 days ago;ai
IT Support Specialist;UAB „Continental Automotive Lithuania“;Kaunas;1819-2450;N/A;5 days ago;go, ai, linux, networking
IT serviso inžinierius (-ė) Vilniuje darbui pas klientus;UAB „UCS BALTIC“;Vilnius;800-1250;N/A;6 days ago;go, ai
FinTech Solution Delivery Analyst;UAB Walletto;Vilnius;From 2000;N/A;6 days ago;python, java, swift, sql, mysql, postgresql, docker, kubernetes, ai, git, linux, unix
IT pagalbos specialistas (-ė);UAB „Lidl Lietuva“;Vilnius;2235-2590;N/A;6 days ago;go, ai
Senior Data Analyst;Modus Group;Vilnius;From 3000;Senior;6 days ago;go, sql, ai
Junior QA Game Console Tester;UAB „Nordcurrent Group“;Vilnius;1500-2200;Junior;6 days ago;go, ai
IT specialistė (-as);UAB „IKEA Industry Lietuva“;Kazlų Rūda;2440-3000;N/A;6 days ago;go, ai, linux
"IT sistemų administratorius (-ė), UAB ""Fegda grupė""";UAB „Fegda grupė“;Vilnius;3000-4000;N/A;6 days ago;go, ai
IS analitikas (-ė);Lietuvos centrinė kredito unija;Kaunas;1900-3250;N/A;6 days ago;ai
Founding Engineer / Python Developer (Django);UAB „Autonominiai pardavimai“;Vilnius;4000-6600;N/A;N/A;python, go, react, django, ai
Business Development Manager;UAB „Vykom“;Kaunas;3141-4133;N/A;6 days ago;go, ai
Senior Frontend Developer;Adsolar, MB;Vilnius;2500-4000;Senior;6 days ago;react, node.js, ai
Quality Assurance Intern;UAB „GODEL TECHNOLOGIES EUROPE“;Vilnius;From 237;Junior;6 days ago;go, sql, ai, agile
GoLang programuotojas;UAB „Būtenta“;Kaunas;From 1300;N/A;6 days ago;go, sql, mysql, ai
Junior Specialist in Data Privacy Area;Swedbank;Vilnius;N/A;Junior;N/A;go, html, ai, git, networking
IT pagalbos specialistė (-as);LTG;Vilnius;2030-3040;N/A;6 days ago;ai
VERSLO VALDYMO SISTEMŲ KONSULTANTO (-ĖS) PRAKTIKA (su galimybe įsidarbinti);OIXIO, UAB;Vilnius;N/A;N/A;7 days ago;ai
Kibernetinių incidentų tyrimo analitikė (-as);LTG;Vilnius;3230-4840;N/A;N/A;go, ai, linux
Microsoft Dynamics 365 Business Central PROGRAMUOTOJO (-OS) PRAKTIKA (su galimybe įsidarbinti);OIXIO, UAB;Vilnius;N/A;N/A;7 days ago;azure, ai, devops
Senior Backup Administrator;Citco Group of Companies;Vilnius;2500-4000;Senior;7 days ago;python, go, sql, aws, azure, terraform, ansible, ai, jenkins
IT specialistas (-ė) (vidinė infrastruktūra ir sistemų priežiūra);Hila;Vilnius;3000-3300;N/A;7 days ago;go, ai, linux, vpn
FinTech Solution Delivery Engineer;UAB Walletto;Vilnius;From 3500;N/A;7 days ago;python, java, swift, sql, mysql, postgresql, docker, kubernetes, ai, git, linux, unix
IT specialistas (-ė) (gali būti paskutinių kursų studentas (-ė));AB „Vilniaus paukštynas“;Vilnius;1200-1400;N/A;7 days ago;go, ai
